t_ms,U,V,W,DCbus
212286,884,-8549,-39,20888
213286,928,-8560,-119,20867
214285,996,-8508,-113,20871
215285,901,-8518,-1,20868
216286,914,-8527,-65,20872
217286,918,-8464,-152,20872
218285,931,-8434,-129,20871
219285,996,-8549,-40,20865
220286,961,-8551,-21,20870
221285,853,-8506,-65,20883
222285,875,-8499,-22,20869
223285,971,-8481,-59,20863
224285,825,-8519,-127,20868
225285,928,-8494,-45,20861
226285,900,-8412,-131,20886
227285,980,-8547,-123,20874
228285,906,-8481,-94,20866
229284,918,-8611,-1,20864
230285,924,-8463,-113,20884
231285,901,-8428,-82,20875
232285,925,-8461,-77,20876
233284,930,-8426,-1,20864
234285,915,-8501,-61,20865
235285,910,-8436,-53,20884
236285,856,-8443,-77,20873
237285,882,-8481,-46,20886
238284,975,-8404,-70,20866
239285,858,-8578,-81,20872
240284,880,-8464,-1,20863
241285,917,-8512,-75,20871
242285,864,-8473,-15,20868
243285,914,-8493,-101,20866
244285,992,-8489,-76,20880
245284,870,-8437,-1,20870
246285,977,-8570,-108,20890
247285,861,-8500,-144,20873
248284,961,-8527,-93,20869
249285,769,-8507,-78,20860
250285,901,-8577,-3,20872
251284,905,-8511,-1,20890
252284,888,-8390,-39,20873
253285,900,-8612,-1,20879
254285,940,-8418,-75,20868
255285,948,-8399,-30,20862
256285,881,-8491,-38,20871
257284,946,-8506,-4,20871
258285,1024,-8526,-1,20866
259285,786,-8398,-27,20861
260285,992,-8492,-13,20877
261285,1024,-8522,-84,20876
262285,1024,-8454,-159,20871
263285,829,-8516,-181,20864
264284,838,-8560,-10,20868
265285,830,-8481,-48,20878
266285,925,-8562,-163,20871
267284,859,-8472,-11,20886
268285,957,-8493,-121,20869
269284,951,-8539,-110,20866
270285,936,-8517,-69,20865
271284,876,-8509,-99,20875
272285,933,-8560,-75,20868
273284,969,-8455,-145,20869
274284,870,-8451,-51,20880
275284,868,-8481,-80,20866
276284,910,-8402,2,20874
277284,896,-8515,-1,20873
278284,834,-8493,-1,20866
279284,1001,-8522,-1,20880
280284,896,-8493,-85,20872
281284,896,-8510,-28,20879
282284,989,-8485,-91,20866
283284,848,-8514,-191,20880
284284,850,-8510,-40,20866
285284,947,-8582,-72,20881
286284,1028,-8552,-74,20872
287284,949,-8565,-176,20870
288284,915,-8511,-1,20868
289284,910,-8477,-1,20866
290284,943,-8389,-59,20882
291284,891,-8625,-26,20877
292284,965,-8463,-50,20882
293284,990,-8374,-1,20859
294284,793,-8489,-29,20868
295283,924,-8508,-88,20872
296283,868,-8449,-8,20871
297283,934,-8498,-144,20869
298284,864,-8552,18,20861
299283,898,-8546,-1,20868
