t_ms,U,V,W,DCbus
212126,1347,-8132,521,20641
213127,1366,-8145,476,20656
214127,1454,-8192,493,20651
215126,1468,-8159,484,20663
216127,1400,-8193,484,20642
217127,1384,-8171,368,20652
218126,1489,-8170,416,20646
219127,1412,-8192,472,20661
220126,1337,-8194,503,20651
221126,1452,-8190,469,20649
222127,1475,-8193,449,20651
223127,1400,-8152,442,20653
224127,1517,-8119,431,20639
225126,1451,-8192,474,20651
226127,1419,-8137,548,20654
227126,1386,-8114,512,20656
228126,1525,-8193,488,20659
229127,1384,-8192,416,20657
230126,1428,-8099,384,20656
231127,1450,-8193,453,20646
232127,1312,-8129,437,20641
233127,1485,-8143,449,20660
234126,1350,-8163,533,20652
235126,1470,-8152,510,20648
236126,1371,-8147,473,20660
237126,1374,-8193,406,20660
238127,1475,-8127,455,20671
239127,1404,-8203,448,20646
240126,1444,-8236,428,20669
241127,1407,-8193,472,20662
242126,1417,-8196,338,20668
243126,1398,-8107,442,20648
244126,1482,-8192,394,20651
245126,1400,-8192,562,20658
246126,1472,-8140,421,20660
247126,1296,-8110,388,20644
248126,1361,-8239,344,20640
249126,1373,-8094,468,20652
250126,1396,-8193,511,20645
251126,1396,-8105,405,20660
252126,1421,-8192,453,20646
253126,1443,-8192,353,20644
254126,1424,-8193,498,20651
255126,1491,-8147,531,20655
256126,1428,-8167,487,20658
257126,1385,-8178,424,20628
258126,1401,-8140,478,20642
259126,1357,-8192,420,20628
260126,1442,-8192,424,20638
261126,1380,-8092,390,20637
262126,1520,-8154,445,20661
263126,1413,-8141,421,20666
264126,1380,-8140,423,20670
265126,1406,-8192,528,20678
266125,1389,-8193,341,20661
267126,1410,-8193,468,20682
268126,1354,-8192,510,20652
269126,1545,-8173,398,20688
270126,1357,-8192,470,20639
271125,1462,-8143,511,20692
272126,1446,-8091,476,20720
273126,1461,-8193,370,20691
274125,1483,-8120,308,20618
275126,1412,-8120,439,20645
276126,1417,-8192,506,20640
277126,1550,-8112,392,20710
278125,1373,-8189,410,20724
279126,1396,-8193,453,20733
280126,1416,-8192,452,20729
281126,1364,-8104,511,20774
282126,1382,-8229,528,20763
283126,1472,-8080,511,20743
284126,1459,-8192,381,20752
285125,1498,-8115,491,20744
286126,1545,-8111,465,20727
287126,1493,-8123,464,20699
288125,1376,-8213,505,20703
289126,1494,-8102,407,20676
290126,1416,-8164,384,20712
291125,1354,-8174,416,20696
292126,1435,-8183,362,20700
293126,1410,-8132,432,20700
294126,1490,-8183,511,20694
295126,1444,-8107,552,20704
296125,1374,-8066,570,20713
297126,1383,-8107,416,20703
298126,1382,-8155,374,20699
299126,1465,-8190,485,20690
